Model,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,AUC_mean,AUC_std
NaiveBayes,0.9984732824427482,0.0030534351145038215,0.8340044742729307,0.025194312641684837,0.9086197269418854,0.013922387462153222,0.9900526387778047,0.003678005038560937
LogisticRegression,0.9887443807057927,0.006895203873135028,0.7081342281879195,0.020543245941936933,0.8250875906957574,0.015011022156241654,0.9908134970036281,0.005067780597916389
LinearSVM,0.9896811431142762,0.007266258700279958,0.8848411633109621,0.028387862310217178,0.9340241385329653,0.014931059509139238,0.0,0.0
HardVoting,0.9953070426840919,0.0038374652804449177,0.8500760626398209,0.02263252307413312,0.9168078944745099,0.013212102266846356,0.0,0.0
SoftVoting,0.9965951898000579,0.004170590114828389,0.796510067114094,0.015145106550006589,0.8853386778012041,0.010943771749380304,0.9922313083191339,0.004094475942174123
Stacking,0.9853940677527676,0.00456227433065272,0.9035883668903804,0.019374426361029706,0.9426139905986306,0.011274678868271075,0.9920218659804568,0.003988941405294578
AdaBoost_Stumps,0.9550058128110166,0.0140135140548404,0.4284474272930649,0.024691378034904128,0.5911808781684418,0.025201389797017703,0.9281475443660094,0.013260376943128723
